Time Stamp (seconds),Battery Voltage,Battery Current
1669972903.820771,-0.0002611142792,-0.009
1669972904.8971093,-0.0004311508506,-0.009
1669972905.9744225,-0.0006540556932,-0.009
1669972907.0547805,5.324064567e-05,-0.009
1669972908.1331098,-0.0001539483845,-0.009
1669972909.211468,8.467607744e-05,-0.009
1669972910.28581,0.0001389738471,-0.009
1669972911.3701003,-0.0004911629015,-0.009
1669972912.4484684,0.0002590003326,-0.009
1669972913.5297956,6.610019971e-05,-0.009
1669972914.6131134,0.0001946999628,-0.009
1669972915.6884658,-0.000664055974,-0.009
1669972916.7697997,-7.678868549e-05,-0.009
1669972917.8521194,0.0001161109026,-0.009
1669972918.9244695,2.037548624e-05,-0.009
1669972920.0077918,-3.24933072e-05,-0.009
1669972921.083131,-0.0002096741811,-0.009
1669972922.1614547,0.000153261377,-0.009
1669972923.2418087,0.0002118455589,-0.009
1669972924.3201416,0.0001861256496,-0.009
1669972925.4323914,0.0002161321109,-0.009
1669972926.5116982,0.0001332568332,-0.009
1669972927.6050215,0.0001432588286,-0.009
1669972928.6843407,-0.0005311688383,-0.009
1669972929.7637026,7.038575072e-05,-0.009
1669972930.8450282,-2.106259308e-05,-0.009
1669972931.92533,0.0001175386678,-0.009
1669972933.006682,-0.000401141727,-0.009
1669972934.08402,0.00018612458,-0.009
1669972935.1623452,-0.0003682776689,-0.009
1669972936.2446892,0.0001446869172,-0.009
1669972937.324024,0.000150402372,-0.009
1669972938.4053512,-0.0002139603168,-0.009
1669972939.5086224,4.323646242e-05,-0.009
1669972940.5839577,0.0003833086366,-0.009
1669972941.6802466,-0.0005711753218,-0.009
1669972942.755605,0.0003161513338,-0.009
